bat_id,datalogger,download_date,date,time,channel,BPM,antenna,power,skin_temp,time_of_day,sex,repro,age,species
150.151,8321,7/13/2014,7/2/2014,15:41:18,6,25.6,AH0,21,33.4935904,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,15:42:34,6,25.2,AH0,18,32.9717712,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,15:42:42,6,24,AH0,255,31.2948,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,15:42:45,6,28.6,AH0,24,36.8570464,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,15:42:50,6,27.3,AH0,25,35.5145793,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,15:58:13,6,25.9,AH0,22,33.8731171,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:14:38,6,26.3,AH0,24,34.3636463,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:15:45,6,26.6,AH0,19,34.7201024,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:16:17,6,20,AH0,19,24.392,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:16:28,6,19.7,AH0,19,23.7864797,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:17:58,6,22.3,AH0,20,28.6181143,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:18:11,6,28.5,AH0,19,36.7597125,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:18:26,6,21,AH0,21,26.3184,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:18:34,6,25.4,AH0,21,33.2349536,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:19:04,6,23.4,AH0,19,30.3914496,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:19:41,6,26.9,AH0,21,35.0669141,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:20:39,6,22.9,AH0,19,29.6044861,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:20:55,6,26.9,AH0,21,35.0669141,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:21:47,6,27.4,AH0,21,35.6238976,Day,M,NR,A,MYSE
150.151,8321,7/13/2014,7/2/2014,16:24:11,6,25.2,AH0,23,32.9717712,Day,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:14:10,3,26.2,AH0,34,34.2426592,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:17:33,3,27.5,AH0,59,35.7321875,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:22:50,3,14.2,AH0,114,10.2324832,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:22:52,3,28.3,AH0,59,36.5621323,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:23:28,3,27.9,AH0,122,36.1551711,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:26:50,3,14.5,AH0,43,11.0994625,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:26:52,3,29.2,AH0,85,37.4210032,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:30:09,3,29.7,AH0,70,37.8653097,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:30:13,3,14.9,AH0,48,12.2313101,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:30:50,3,29.5,AH0,72,37.6903375,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:32:47,3,30,AH0,88,38.121,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:32:51,3,14.9,AH0,81,12.2313101,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:32:53,3,29.7,AH0,53,37.8653097,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:48:47,3,27.8,AH0,52,36.0509408,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:50:14,3,28.1,AH0,62,36.3606329,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:50:50,3,28.3,AH0,105,36.5621323,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:50:53,3,28.3,AH0,87,36.5621323,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:51:28,3,28.6,AH0,54,36.8570464,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:51:31,3,28.6,AH0,51,36.8570464,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:08,3,28.8,AH0,126,37.0488288,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:10,3,28.8,AH0,87,37.0488288,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:12,3,28.8,AH0,136,37.0488288,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:48,3,28.7,AH0,88,36.9534167,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:50,3,28.8,AH0,158,37.0488288,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:52,3,28.9,AH0,170,37.1432881,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:52:54,3,28.9,AH0,84,37.1432881,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:53:29,3,14.5,AH0,139,11.0994625,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:53:32,3,29,AH0,162,37.2368,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:53:34,3,29,AH0,154,37.2368,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:08,3,29.1,AH0,72,37.3293699,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:10,3,29.1,AH0,148,37.3293699,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:12,3,29.1,AH0,171,37.3293699,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:14,3,29.1,AH0,172,37.3293699,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:49,3,29.3,AH0,114,37.5117053,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:51,3,29.3,AH0,164,37.5117053,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:53,3,29.3,AH0,69,37.5117053,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,21:54:55,3,29.3,AH0,239,37.5117053,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,22:00:12,3,30.4,AH0,44,38.4495136,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,22:00:14,3,30.4,AH0,53,38.4495136,Night,M,NR,A,MYSE
150.151,8323,7/21/2014,7/14/2014,22:02:08,3,28.1,AH0,222,36.3606329,Night,M,NR,A,MYSE
