date_time,outside_temp,temp_C
5-21-2015 18:31 EDT,56,13.33333333
5-21-2015 19:31 EDT,53,11.66666667
5-21-2015 20:31 EDT,51,10.55555556
5-21-2015 21:31 EDT,50,10
5-21-2015 22:31 EDT,49,9.444444444
5-21-2015 23:31 EDT,48,8.888888889
5-22-2015 0:31 EDT,47,8.333333333
5-22-2015 1:31 EDT,47,8.333333333
5-22-2015 2:31 EDT,47,8.333333333
5-22-2015 3:31 EDT,46,7.777777778
5-22-2015 4:31 EDT,46,7.777777778
5-22-2015 5:31 EDT,45,7.222222222
5-22-2015 6:31 EDT,45,7.222222222
5-22-2015 7:31 EDT,46,7.777777778
5-22-2015 8:31 EDT,47,8.333333333
5-22-2015 9:31 EDT,55,12.77777778
5-22-2015 10:31 EDT,59,15
5-22-2015 11:31 EDT,62,16.66666667
5-22-2015 12:31 EDT,66,18.88888889
5-22-2015 13:31 EDT,69,20.55555556
5-22-2015 14:31 EDT,69,20.55555556
5-22-2015 15:31 EDT,71,21.66666667
5-22-2015 16:31 EDT,72,22.22222222
5-22-2015 17:31 EDT,72,22.22222222
5-22-2015 18:31 EDT,67,19.44444444
5-22-2015 19:31 EDT,59,15
5-22-2015 20:31 EDT,56,13.33333333
5-22-2015 21:31 EDT,55,12.77777778
5-22-2015 22:31 EDT,56,13.33333333
5-22-2015 23:31 EDT,56,13.33333333
5-23-2015 0:31 EDT,56,13.33333333
5-23-2015 1:31 EDT,56,13.33333333
5-23-2015 2:31 EDT,56,13.33333333
5-23-2015 3:31 EDT,56,13.33333333
5-23-2015 4:31 EDT,57,13.88888889
5-23-2015 5:31 EDT,57,13.88888889
5-23-2015 6:31 EDT,57,13.88888889
5-23-2015 7:31 EDT,57,13.88888889
5-23-2015 8:31 EDT,59,15
5-23-2015 9:31 EDT,62,16.66666667
5-23-2015 10:31 EDT,71,21.66666667
5-23-2015 11:31 EDT,73,22.77777778
5-23-2015 12:31 EDT,75,23.88888889
5-23-2015 13:31 EDT,75,23.88888889
5-23-2015 14:31 EDT,78,25.55555556
