Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,BPM,Power,Date_time,Temp,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:21:35,11,32.7,192,8/6/14 18:21,37.1230462,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:21:37,11,32.6,191,8/6/14 18:21,36.9954144,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:21:39,11,32.6,178,8/6/14 18:21,36.9954144,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:21:41,11,32.6,179,8/6/14 18:21,36.9954144,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:21:43,11,32.6,175,8/6/14 18:21,36.9954144,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:22:06,11,33,105,8/6/14 18:22,37.4932,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:22:08,11,33.1,127,8/6/14 18:22,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:22:10,11,33.1,41,8/6/14 18:22,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:22:12,11,33.1,54,8/6/14 18:22,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:23:06,11,33.1,70,8/6/14 18:23,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:23:08,11,33.1,68,8/6/14 18:23,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:23:10,11,33.1,74,8/6/14 18:23,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:23:12,11,33.1,80,8/6/14 18:23,37.6124054,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:24:35,11,32.5,65,8/6/14 18:24,36.865625,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:24:37,11,32.5,93,8/6/14 18:24,36.865625,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:24:39,11,32.5,109,8/6/14 18:24,36.865625,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:24:41,11,32.5,90,8/6/14 18:24,36.865625,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:24:43,11,32.5,122,8/6/14 18:24,36.865625,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:25:05,11,32.3,107,8/6/14 18:25,36.5994918,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:25:07,11,32.3,94,8/6/14 18:25,36.5994918,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:25:09,11,32.3,96,8/6/14 18:25,36.5994918,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:25:11,11,32.3,98,8/6/14 18:25,36.5994918,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:25:12,11,32.3,96,8/6/14 18:25,36.5994918,Day
150.313,MYSO,8321,2014/08/16,2014/08/06,18:25:37,11,32.3,108,8/6/14 18:25,36.5994918,Day
