Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,Day,Date_Time,BPM
150.073,MYSE,8443,2014/08/01,2014/07/30,06:17:21,1,Day,7/30/14 6:17,17.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:18:21,1,Day,7/30/14 6:18,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:19:20,1,Day,7/30/14 6:19,19
150.073,MYSE,8443,2014/08/01,2014/07/30,06:19:23,1,Day,7/30/14 6:19,20
150.073,MYSE,8443,2014/08/01,2014/07/30,06:20:18,1,Day,7/30/14 6:20,19.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:20:22,1,Day,7/30/14 6:20,18.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:21:19,1,Day,7/30/14 6:21,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:21:23,1,Day,7/30/14 6:21,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:22:19,1,Day,7/30/14 6:22,16
150.073,MYSE,8443,2014/08/01,2014/07/30,06:22:23,1,Day,7/30/14 6:22,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:23:20,1,Day,7/30/14 6:23,16.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:24:21,1,Day,7/30/14 6:24,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:25:19,1,Day,7/30/14 6:25,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:25:22,1,Day,7/30/14 6:25,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:26:19,1,Day,7/30/14 6:26,17
150.073,MYSE,8443,2014/08/01,2014/07/30,06:26:22,1,Day,7/30/14 6:26,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:27:20,1,Day,7/30/14 6:27,16.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:27:24,1,Day,7/30/14 6:27,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:28:19,1,Day,7/30/14 6:28,18
150.073,MYSE,8443,2014/08/01,2014/07/30,06:28:22,1,Day,7/30/14 6:28,18.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:29:19,1,Day,7/30/14 6:29,18
150.073,MYSE,8443,2014/08/01,2014/07/30,06:29:22,1,Day,7/30/14 6:29,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:30:20,1,Day,7/30/14 6:30,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:31:18,1,Day,7/30/14 6:31,17.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:31:21,1,Day,7/30/14 6:31,18
150.073,MYSE,8443,2014/08/01,2014/07/30,06:32:19,1,Day,7/30/14 6:32,18.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:32:22,1,Day,7/30/14 6:32,18.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:33:19,1,Day,7/30/14 6:33,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:33:23,1,Day,7/30/14 6:33,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:34:21,1,Day,7/30/14 6:34,17.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:35:20,1,Day,7/30/14 6:35,17.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:35:24,1,Day,7/30/14 6:35,17.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:36:20,1,Day,7/30/14 6:36,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:36:23,1,Day,7/30/14 6:36,17.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:37:19,1,Day,7/30/14 6:37,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:37:23,1,Day,7/30/14 6:37,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:38:20,1,Day,7/30/14 6:38,16.7
150.073,MYSE,8443,2014/08/01,2014/07/30,06:38:23,1,Day,7/30/14 6:38,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:39:20,1,Day,7/30/14 6:39,18
150.073,MYSE,8443,2014/08/01,2014/07/30,06:39:24,1,Day,7/30/14 6:39,17.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:40:18,1,Day,7/30/14 6:40,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:40:21,1,Day,7/30/14 6:40,16.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:41:19,1,Day,7/30/14 6:41,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:41:22,1,Day,7/30/14 6:41,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:42:18,1,Day,7/30/14 6:42,17.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:42:22,1,Day,7/30/14 6:42,17.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:43:20,1,Day,7/30/14 6:43,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:44:21,1,Day,7/30/14 6:44,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,06:45:21,1,Day,7/30/14 6:45,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:46:18,1,Day,7/30/14 6:46,17.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:46:21,1,Day,7/30/14 6:46,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:47:18,1,Day,7/30/14 6:47,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:47:22,1,Day,7/30/14 6:47,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:48:19,1,Day,7/30/14 6:48,17.7
