ref,Frequency,Datalogger,Download Date,Date,Time,Channel,BPM,Antenna,Power,Activity,Tree,Time Change,Time>1min,BPM Change
1,151.786,8443,5/13/15,5/1/15,12:41:18,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:00,0,0
2,151.786,8443,5/13/15,5/1/15,12:41:21,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
3,151.786,8443,5/13/15,5/1/15,12:41:23,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
4,151.786,8443,5/13/15,5/1/15,12:41:37,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:14,0,0
5,151.786,8443,5/13/15,5/1/15,12:41:40,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
6,151.786,8443,5/13/15,5/1/15,12:41:43,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
7,151.786,8443,5/13/15,5/1/15,12:41:58,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
8,151.786,8443,5/13/15,5/1/15,12:42:00,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
9,151.786,8443,5/13/15,5/1/15,12:42:03,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
10,151.786,8443,5/13/15,5/1/15,12:42:18,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
11,151.786,8443,5/13/15,5/1/15,12:42:21,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
12,151.786,8443,5/13/15,5/1/15,12:42:36,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
13,151.786,8443,5/13/15,5/1/15,12:42:38,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
14,151.786,8443,5/13/15,5/1/15,12:42:41,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
15,151.786,8443,5/13/15,5/1/15,12:42:56,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
16,151.786,8443,5/13/15,5/1/15,12:42:59,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
17,151.786,8443,5/13/15,5/1/15,12:43:01,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
18,151.786,8443,5/13/15,5/1/15,12:43:16,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
19,151.786,8443,5/13/15,5/1/15,12:43:19,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
20,151.786,8443,5/13/15,5/1/15,12:43:21,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
21,151.786,8443,5/13/15,5/1/15,12:43:36,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
22,151.786,8443,5/13/15,5/1/15,12:43:39,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
23,151.786,8443,5/13/15,5/1/15,12:43:42,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
24,151.786,8443,5/13/15,5/1/15,12:43:57,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
25,151.786,8443,5/13/15,5/1/15,12:43:59,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
26,151.786,8443,5/13/15,5/1/15,12:44:02,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
27,151.786,8443,5/13/15,5/1/15,12:44:17,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
28,151.786,8443,5/13/15,5/1/15,12:44:20,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
29,151.786,8443,5/13/15,5/1/15,12:44:22,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
30,151.786,8443,5/13/15,5/1/15,12:44:37,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
31,151.786,8443,5/13/15,5/1/15,12:44:40,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
32,151.786,8443,5/13/15,5/1/15,12:44:42,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
33,151.786,8443,5/13/15,5/1/15,12:44:57,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
34,151.786,8443,5/13/15,5/1/15,12:45:00,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
35,151.786,8443,5/13/15,5/1/15,12:45:03,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
36,151.786,8443,5/13/15,5/1/15,12:45:18,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
37,151.786,8443,5/13/15,5/1/15,12:45:20,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
38,151.786,8443,5/13/15,5/1/15,12:45:23,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
39,151.786,8443,5/13/15,5/1/15,12:45:38,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
40,151.786,8443,5/13/15,5/1/15,12:45:40,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
41,151.786,8443,5/13/15,5/1/15,12:45:56,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:16,0,0
42,151.786,8443,5/13/15,5/1/15,12:45:58,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
43,151.786,8443,5/13/15,5/1/15,12:46:01,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
44,151.786,8443,5/13/15,5/1/15,12:46:16,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
45,151.786,8443,5/13/15,5/1/15,12:46:18,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
46,151.786,8443,5/13/15,5/1/15,12:46:21,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
47,151.786,8443,5/13/15,5/1/15,12:46:36,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
48,151.786,8443,5/13/15,5/1/15,12:46:39,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
49,151.786,8443,5/13/15,5/1/15,12:46:41,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
50,151.786,8443,5/13/15,5/1/15,12:46:56,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
51,151.786,8443,5/13/15,5/1/15,12:46:59,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
52,151.786,8443,5/13/15,5/1/15,12:47:01,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
53,151.786,8443,5/13/15,5/1/15,12:47:17,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:16,0,0
54,151.786,8443,5/13/15,5/1/15,12:47:19,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
55,151.786,8443,5/13/15,5/1/15,12:47:22,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
56,151.786,8443,5/13/15,5/1/15,12:47:37,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
57,151.786,8443,5/13/15,5/1/15,12:47:39,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
58,151.786,8443,5/13/15,5/1/15,12:47:42,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
59,151.786,8443,5/13/15,5/1/15,12:47:57,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
60,151.786,8443,5/13/15,5/1/15,12:48:00,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:03,0,0
61,151.786,8443,5/13/15,5/1/15,12:48:02,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:02,0,0
62,151.786,8443,5/13/15,5/1/15,12:48:17,4,23.7,AH0,255,Roosting,GSM2015-01,0:00:15,0,0
