ref,Frequency,Datalogger,Download Date,Date,Time,Channel,BPM,Antenna,Power,Activity,Tree,Time Change,Time>1min,BPM Change
1,151.467,8323,6/23/15,6/19/15,15:38:35,15,33.8,AH0,255,,,0:00:00,0,0
2,151.467,8323,6/23/15,6/19/15,15:38:36,15,33.8,AH0,255,,,0:00:01,0,0
3,151.467,8323,6/23/15,6/19/15,15:38:38,15,33.8,AH0,255,,,0:00:02,0,0
4,151.467,8323,6/23/15,6/19/15,15:38:40,15,33.8,AH0,255,,,0:00:02,0,0
5,151.467,8323,6/23/15,6/19/15,15:38:54,15,33.8,AH0,255,,,0:00:14,0,0
6,151.467,8323,6/23/15,6/19/15,15:38:56,15,33.8,AH0,255,,,0:00:02,0,0
7,151.467,8323,6/23/15,6/19/15,15:38:58,15,33.8,AH0,255,,,0:00:02,0,0
8,151.467,8323,6/23/15,6/19/15,15:38:59,15,33.8,AH0,255,,,0:00:01,0,0
9,151.467,8323,6/23/15,6/19/15,15:39:01,15,33.8,AH0,255,,,0:00:02,0,0
10,151.467,8323,6/23/15,6/19/15,15:39:14,15,33.8,AH0,254,,,0:00:13,0,0
11,151.467,8323,6/23/15,6/19/15,15:39:15,15,33.8,AH0,217,,,0:00:01,0,0
12,151.467,8323,6/23/15,6/19/15,15:39:17,15,33.8,AH0,234,,,0:00:02,0,0
13,151.467,8323,6/23/15,6/19/15,15:39:19,15,33.8,AH0,241,,,0:00:02,0,0
14,151.467,8323,6/23/15,6/19/15,15:39:21,15,33.8,AH0,230,,,0:00:02,0,0
15,151.467,8323,6/23/15,6/19/15,15:39:33,15,33.9,AH0,255,,,0:00:12,0,0
16,151.467,8323,6/23/15,6/19/15,15:39:35,15,33.8,AH0,255,,,0:00:02,0,0
17,151.467,8323,6/23/15,6/19/15,15:39:37,15,33.8,AH0,255,,,0:00:02,0,0
18,151.467,8323,6/23/15,6/19/15,15:39:38,15,33.8,AH0,237,,,0:00:01,0,0
19,151.467,8323,6/23/15,6/19/15,15:39:40,15,33.8,AH0,246,,,0:00:02,0,0
20,151.467,8323,6/23/15,6/19/15,15:39:54,15,33.8,AH0,255,,,0:00:14,0,0
21,151.467,8323,6/23/15,6/19/15,15:39:56,15,33.8,AH0,255,,,0:00:02,0,0
22,151.467,8323,6/23/15,6/19/15,15:39:58,15,33.8,AH0,255,,,0:00:02,0,0
23,151.467,8323,6/23/15,6/19/15,15:40:00,15,33.8,AH0,255,,,0:00:02,0,0
24,151.467,8323,6/23/15,6/19/15,15:40:14,15,33.8,AH0,254,,,0:00:14,0,0
25,151.467,8323,6/23/15,6/19/15,15:40:16,15,33.8,AH0,255,,,0:00:02,0,0
26,151.467,8323,6/23/15,6/19/15,15:40:17,15,33.8,AH0,253,,,0:00:01,0,0
27,151.467,8323,6/23/15,6/19/15,15:40:19,15,33.8,AH0,255,,,0:00:02,0,0
28,151.467,8323,6/23/15,6/19/15,15:40:21,15,33.8,AH0,255,,,0:00:02,0,0
29,151.467,8323,6/23/15,6/19/15,15:40:33,15,33.8,AH0,212,,,0:00:12,0,0
30,151.467,8323,6/23/15,6/19/15,15:40:35,15,33.8,AH0,209,,,0:00:02,0,0
31,151.467,8323,6/23/15,6/19/15,15:40:37,15,33.8,AH0,217,,,0:00:02,0,0
32,151.467,8323,6/23/15,6/19/15,15:40:39,15,33.8,AH0,192,,,0:00:02,0,0
33,151.467,8323,6/23/15,6/19/15,15:40:41,15,33.8,AH0,255,,,0:00:02,0,0
34,151.467,8323,6/23/15,6/19/15,15:40:55,15,33.9,AH0,255,,,0:00:14,0,0
35,151.467,8323,6/23/15,6/19/15,15:40:57,15,33.9,AH0,255,,,0:00:02,0,0
36,151.467,8323,6/23/15,6/19/15,15:40:58,15,33.9,AH0,255,,,0:00:01,0,0
37,151.467,8323,6/23/15,6/19/15,15:41:00,15,33.9,AH0,255,,,0:00:02,0,0
38,151.467,8323,6/23/15,6/19/15,15:41:14,15,33.9,AH0,255,,,0:00:14,0,0
39,151.467,8323,6/23/15,6/19/15,15:41:16,15,33.9,AH0,255,,,0:00:02,0,0
40,151.467,8323,6/23/15,6/19/15,15:41:18,15,33.9,AH0,255,,,0:00:02,0,0
41,151.467,8323,6/23/15,6/19/15,15:41:20,15,33.9,AH0,255,,,0:00:02,0,0
42,151.467,8323,6/23/15,6/19/15,15:41:34,15,33.9,AH0,255,,,0:00:14,0,0
43,151.467,8323,6/23/15,6/19/15,15:41:35,15,33.9,AH0,255,,,0:00:01,0,0
44,151.467,8323,6/23/15,6/19/15,15:41:37,15,33.9,AH0,255,,,0:00:02,0,0
45,151.467,8323,6/23/15,6/19/15,15:41:39,15,33.9,AH0,255,,,0:00:02,0,0
46,151.467,8323,6/23/15,6/19/15,15:41:41,15,33.9,AH0,255,,,0:00:02,0,0
47,151.467,8323,6/23/15,6/19/15,15:41:53,15,33.9,AH0,255,,,0:00:12,0,0
48,151.467,8323,6/23/15,6/19/15,15:41:55,15,33.9,AH0,255,,,0:00:02,0,0
49,151.467,8323,6/23/15,6/19/15,15:41:57,15,33.9,AH0,255,,,0:00:02,0,0
50,151.467,8323,6/23/15,6/19/15,15:41:58,15,33.9,AH0,255,,,0:00:01,0,0
51,151.467,8323,6/23/15,6/19/15,15:42:00,15,33.9,AH0,255,,,0:00:02,0,0
52,151.467,8323,6/23/15,6/19/15,15:42:14,15,34,AH0,255,,,0:00:14,0,0
53,151.467,8323,6/23/15,6/19/15,15:42:16,15,34,AH0,255,,,0:00:02,0,0
54,151.467,8323,6/23/15,6/19/15,15:42:18,15,34,AH0,255,,,0:00:02,0,0
55,151.467,8323,6/23/15,6/19/15,15:42:20,15,34,AH0,255,,,0:00:02,0,0
56,151.467,8323,6/23/15,6/19/15,15:42:34,15,34,AH0,255,,,0:00:14,0,0
57,151.467,8323,6/23/15,6/19/15,15:42:36,15,34,AH0,255,,,0:00:02,0,0
58,151.467,8323,6/23/15,6/19/15,15:42:37,15,34,AH0,255,,,0:00:01,0,0
59,151.467,8323,6/23/15,6/19/15,15:42:39,15,34,AH0,255,,,0:00:02,0,0
60,151.467,8323,6/23/15,6/19/15,15:42:41,15,34,AH0,255,,,0:00:02,0,0
61,151.467,8323,6/23/15,6/19/15,15:42:53,15,34.1,AH0,255,,,0:00:12,0,0
62,151.467,8323,6/23/15,6/19/15,15:42:55,15,34.1,AH0,255,,,0:00:02,0,0
63,151.467,8323,6/23/15,6/19/15,15:42:57,15,34.1,AH0,255,,,0:00:02,0,0
64,151.467,8323,6/23/15,6/19/15,15:42:58,15,34.1,AH0,255,,,0:00:01,0,0
65,151.467,8323,6/23/15,6/19/15,15:43:00,15,34.1,AH0,255,,,0:00:02,0,0
66,151.467,8323,6/23/15,6/19/15,15:43:14,15,34.1,AH0,255,,,0:00:14,0,0
67,151.467,8323,6/23/15,6/19/15,15:43:16,15,34.1,AH0,255,,,0:00:02,0,0
68,151.467,8323,6/23/15,6/19/15,15:43:18,15,34.1,AH0,255,,,0:00:02,0,0
69,151.467,8323,6/23/15,6/19/15,15:43:20,15,34.1,AH0,255,,,0:00:02,0,0
70,151.467,8323,6/23/15,6/19/15,15:43:34,15,34.1,AH0,255,,,0:00:14,0,0
71,151.467,8323,6/23/15,6/19/15,15:43:35,15,34.1,AH0,255,,,0:00:01,0,0
72,151.467,8323,6/23/15,6/19/15,15:43:37,15,34.1,AH0,255,,,0:00:02,0,0
73,151.467,8323,6/23/15,6/19/15,15:43:39,15,34.1,AH0,255,,,0:00:02,0,0
74,151.467,8323,6/23/15,6/19/15,15:43:41,15,34.1,AH0,255,,,0:00:02,0,0
75,151.467,8323,6/23/15,6/19/15,15:43:53,15,34.1,AH0,255,,,0:00:12,0,0
76,151.467,8323,6/23/15,6/19/15,15:43:55,15,34.1,AH0,255,,,0:00:02,0,0
77,151.467,8323,6/23/15,6/19/15,15:43:57,15,34.1,AH0,255,,,0:00:02,0,0
78,151.467,8323,6/23/15,6/19/15,15:43:58,15,34.1,AH0,255,,,0:00:01,0,0
79,151.467,8323,6/23/15,6/19/15,15:44:00,15,34.1,AH0,255,,,0:00:02,0,0
80,151.467,8323,6/23/15,6/19/15,15:44:14,15,34.2,AH0,255,,,0:00:14,0,0
81,151.467,8323,6/23/15,6/19/15,15:44:16,15,34.2,AH0,255,,,0:00:02,0,0
82,151.467,8323,6/23/15,6/19/15,15:44:18,15,34.1,AH0,255,,,0:00:02,0,0
83,151.467,8323,6/23/15,6/19/15,15:44:19,15,34.1,AH0,255,,,0:00:01,0,0
84,151.467,8323,6/23/15,6/19/15,15:44:21,15,34.1,AH0,255,,,0:00:02,0,0
85,151.467,8323,6/23/15,6/19/15,15:44:33,15,34.1,AH0,255,,,0:00:12,0,0
86,151.467,8323,6/23/15,6/19/15,15:44:35,15,34.1,AH0,255,,,0:00:02,0,0
87,151.467,8323,6/23/15,6/19/15,15:44:37,15,34,AH0,255,,,0:00:02,0,0
88,151.467,8323,6/23/15,6/19/15,15:44:39,15,34,AH0,255,,,0:00:02,0,0
89,151.467,8323,6/23/15,6/19/15,15:44:41,15,34,AH0,255,,,0:00:02,0,0
90,151.467,8323,6/23/15,6/19/15,15:44:55,15,33.9,AH0,255,,,0:00:14,0,0
91,151.467,8323,6/23/15,6/19/15,15:44:56,15,33.9,AH0,255,,,0:00:01,0,0
92,151.467,8323,6/23/15,6/19/15,15:44:58,15,33.9,AH0,255,,,0:00:02,0,0
93,151.467,8323,6/23/15,6/19/15,15:45:00,15,33.9,AH0,255,,,0:00:02,0,0
94,151.467,8323,6/23/15,6/19/15,15:45:14,15,33.8,AH0,255,,,0:00:14,0,0
95,151.467,8323,6/23/15,6/19/15,15:45:16,15,33.8,AH0,255,,,0:00:02,0,0
96,151.467,8323,6/23/15,6/19/15,15:45:18,15,33.8,AH0,255,,,0:00:02,0,0
97,151.467,8323,6/23/15,6/19/15,15:45:19,15,33.8,AH0,255,,,0:00:01,0,0
98,151.467,8323,6/23/15,6/19/15,15:45:34,15,33.8,AH0,255,,,0:00:15,0,0
99,151.467,8323,6/23/15,6/19/15,15:45:35,15,33.8,AH0,255,,,0:00:01,0,0
100,151.467,8323,6/23/15,6/19/15,15:45:37,15,33.8,AH0,255,,,0:00:02,0,0
101,151.467,8323,6/23/15,6/19/15,15:45:39,15,33.9,AH0,255,,,0:00:02,0,0
102,151.467,8323,6/23/15,6/19/15,15:45:41,15,33.9,AH0,255,,,0:00:02,0,0
103,151.467,8323,6/23/15,6/19/15,15:45:53,15,33.9,AH0,255,,,0:00:12,0,0
104,151.467,8323,6/23/15,6/19/15,15:45:55,15,33.9,AH0,255,,,0:00:02,0,0
105,151.467,8323,6/23/15,6/19/15,15:45:57,15,34,AH0,255,,,0:00:02,0,0
106,151.467,8323,6/23/15,6/19/15,15:45:58,15,34,AH0,255,,,0:00:01,0,0
107,151.467,8323,6/23/15,6/19/15,15:46:00,15,34,AH0,255,,,0:00:02,0,0
108,151.467,8323,6/23/15,6/19/15,15:46:14,15,34.1,AH0,255,,,0:00:14,0,0
109,151.467,8323,6/23/15,6/19/15,15:46:16,15,34.1,AH0,255,,,0:00:02,0,0
110,151.467,8323,6/23/15,6/19/15,15:46:18,15,34.1,AH0,255,,,0:00:02,0,0
111,151.467,8323,6/23/15,6/19/15,15:46:20,15,34.1,AH0,255,,,0:00:02,0,0
112,151.467,8323,6/23/15,6/19/15,15:46:34,15,34.2,AH0,255,,,0:00:14,0,0
113,151.467,8323,6/23/15,6/19/15,15:46:35,15,34.2,AH0,255,,,0:00:01,0,0
114,151.467,8323,6/23/15,6/19/15,15:46:37,15,34.2,AH0,255,,,0:00:02,0,0
115,151.467,8323,6/23/15,6/19/15,15:46:39,15,34.2,AH0,255,,,0:00:02,0,0
116,151.467,8323,6/23/15,6/19/15,15:46:41,15,34.2,AH0,255,,,0:00:02,0,0
117,151.467,8323,6/23/15,6/19/15,15:46:53,15,34.3,AH0,255,,,0:00:12,0,0
118,151.467,8323,6/23/15,6/19/15,15:46:55,15,34.3,AH0,255,,,0:00:02,0,0
119,151.467,8323,6/23/15,6/19/15,15:46:56,15,34.3,AH0,255,,,0:00:01,0,0
120,151.467,8323,6/23/15,6/19/15,15:46:58,15,34.3,AH0,255,,,0:00:02,0,0
121,151.467,8323,6/23/15,6/19/15,15:47:00,15,34.3,AH0,255,,,0:00:02,0,0
122,151.467,8323,6/23/15,6/19/15,15:47:14,15,34.3,AH0,255,,,0:00:14,0,0
123,151.467,8323,6/23/15,6/19/15,15:47:16,15,34.3,AH0,255,,,0:00:02,0,0
124,151.467,8323,6/23/15,6/19/15,15:47:17,15,34.3,AH0,255,,,0:00:01,0,0
