ref,Frequency,Datalogger,Download Date,Date,Time,Channel,BPM,Antenna,Power,Activity,Tree,Time Change,Time>1min,BPM Change
1,150.937,8443,6/25/15,6/23/15,20:40:29,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:00,0,0
2,150.937,8443,6/25/15,6/23/15,20:40:31,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:02,0,0
3,150.937,8443,6/25/15,6/23/15,20:40:33,18,31.1,AH0,234,Roosting,GSM2015-22,0:00:02,0,0
4,150.937,8443,6/25/15,6/23/15,20:40:35,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:02,0,0
5,150.937,8443,6/25/15,6/23/15,20:40:50,18,31.1,AH0,231,Roosting,GSM2015-22,0:00:15,0,0
6,150.937,8443,6/25/15,6/23/15,20:40:52,18,31.1,AH0,231,Roosting,GSM2015-22,0:00:02,0,0
7,150.937,8443,6/25/15,6/23/15,20:40:54,18,31.1,AH0,231,Roosting,GSM2015-22,0:00:02,0,0
8,150.937,8443,6/25/15,6/23/15,20:40:56,18,31.1,AH0,230,Roosting,GSM2015-22,0:00:02,0,0
9,150.937,8443,6/25/15,6/23/15,20:41:09,18,31.1,AH0,232,Roosting,GSM2015-22,0:00:13,0,0
10,150.937,8443,6/25/15,6/23/15,20:41:11,18,31.1,AH0,234,Roosting,GSM2015-22,0:00:02,0,0
11,150.937,8443,6/25/15,6/23/15,20:41:13,18,31.1,AH0,234,Roosting,GSM2015-22,0:00:02,0,0
12,150.937,8443,6/25/15,6/23/15,20:41:15,18,31.1,AH0,234,Roosting,GSM2015-22,0:00:02,0,0
13,150.937,8443,6/25/15,6/23/15,20:41:29,18,31.1,AH0,237,Roosting,GSM2015-22,0:00:14,0,0
14,150.937,8443,6/25/15,6/23/15,20:41:31,18,31.1,AH0,236,Roosting,GSM2015-22,0:00:02,0,0
15,150.937,8443,6/25/15,6/23/15,20:41:32,18,31.1,AH0,237,Roosting,GSM2015-22,0:00:01,0,0
16,150.937,8443,6/25/15,6/23/15,20:41:34,18,31.1,AH0,232,Roosting,GSM2015-22,0:00:02,0,0
17,150.937,8443,6/25/15,6/23/15,20:41:36,18,31.1,AH0,232,Roosting,GSM2015-22,0:00:02,0,0
18,150.937,8443,6/25/15,6/23/15,20:41:50,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:14,0,0
19,150.937,8443,6/25/15,6/23/15,20:41:52,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:02,0,0
20,150.937,8443,6/25/15,6/23/15,20:41:54,18,31.1,AH0,232,Roosting,GSM2015-22,0:00:02,0,0
21,150.937,8443,6/25/15,6/23/15,20:41:56,18,31.1,AH0,234,Roosting,GSM2015-22,0:00:02,0,0
22,150.937,8443,6/25/15,6/23/15,20:42:09,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:13,0,0
23,150.937,8443,6/25/15,6/23/15,20:42:11,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:02,0,0
24,150.937,8443,6/25/15,6/23/15,20:42:13,18,31.1,AH0,232,Roosting,GSM2015-22,0:00:02,0,0
25,150.937,8443,6/25/15,6/23/15,20:42:15,18,31.1,AH0,233,Roosting,GSM2015-22,0:00:02,0,0
26,150.937,8443,6/25/15,6/23/15,20:42:28,18,31.1,AH0,233,Roosting,GSM2015-22,0:00:13,0,0
27,150.937,8443,6/25/15,6/23/15,20:42:30,18,31.1,AH0,234,Roosting,GSM2015-22,0:00:02,0,0
28,150.937,8443,6/25/15,6/23/15,20:42:32,18,31.1,AH0,235,Roosting,GSM2015-22,0:00:02,0,0
29,150.937,8443,6/25/15,6/23/15,20:42:34,18,31.1,AH0,233,Roosting,GSM2015-22,0:00:02,0,0
30,150.937,8443,6/25/15,6/23/15,20:42:36,18,31.1,AH0,233,Roosting,GSM2015-22,0:00:02,0,0
31,150.937,8443,6/25/15,6/23/15,20:42:50,18,31.1,AH0,231,Roosting,GSM2015-22,0:00:14,0,0
32,150.937,8443,6/25/15,6/23/15,20:42:52,18,31.1,AH0,228,Roosting,GSM2015-22,0:00:02,0,0
33,150.937,8443,6/25/15,6/23/15,20:42:54,18,31.1,AH0,228,Roosting,GSM2015-22,0:00:02,0,0
34,150.937,8443,6/25/15,6/23/15,20:42:55,18,31.1,AH0,226,Roosting,GSM2015-22,0:00:01,0,0
35,150.937,8443,6/25/15,6/23/15,20:43:09,18,31.2,AH0,230,Roosting,GSM2015-22,0:00:14,0,0
36,150.937,8443,6/25/15,6/23/15,20:43:11,18,31.1,AH0,230,Roosting,GSM2015-22,0:00:02,0,0
37,150.937,8443,6/25/15,6/23/15,20:43:13,18,31.1,AH0,230,Roosting,GSM2015-22,0:00:02,0,0
38,150.937,8443,6/25/15,6/23/15,20:43:15,18,31.1,AH0,231,Roosting,GSM2015-22,0:00:02,0,0
39,150.937,8443,6/25/15,6/23/15,20:43:30,18,31.2,AH0,227,Roosting,GSM2015-22,0:00:15,0,0
40,150.937,8443,6/25/15,6/23/15,20:43:32,18,31.2,AH0,226,Roosting,GSM2015-22,0:00:02,0,0
41,150.937,8443,6/25/15,6/23/15,20:43:34,18,31.2,AH0,228,Roosting,GSM2015-22,0:00:02,0,0
42,150.937,8443,6/25/15,6/23/15,20:43:36,18,31.2,AH0,229,Roosting,GSM2015-22,0:00:02,0,0
43,150.937,8443,6/25/15,6/23/15,20:43:49,18,31.2,AH0,225,Roosting,GSM2015-22,0:00:13,0,0
44,150.937,8443,6/25/15,6/23/15,20:43:51,18,31.2,AH0,226,Roosting,GSM2015-22,0:00:02,0,0
45,150.937,8443,6/25/15,6/23/15,20:43:53,18,31.2,AH0,226,Roosting,GSM2015-22,0:00:02,0,0
46,150.937,8443,6/25/15,6/23/15,20:43:55,18,31.2,AH0,226,Roosting,GSM2015-22,0:00:02,0,0
